Title,Vessels,Cranes,Generations,Crossover,Mutation,BestDelay,TimeMS
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.55,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.55,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.55,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.60,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.60,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.65,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.65,1,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.65,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.65,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.65,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.65,0,3
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.70,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.70,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.70,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.70,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.70,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.75,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.75,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.75,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.75,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.75,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.75,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.75,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.75,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.75,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.75,11,3
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.80,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.80,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.80,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.80,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.80,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.80,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.80,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.80,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.80,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.80,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.85,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.85,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.85,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.85,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.85,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.85,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.85,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.85,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.85,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.85,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.90,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.90,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.90,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.90,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.90,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.90,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.90,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.90,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.90,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.90,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.95,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.95,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.95,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.95,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.95,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.95,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.95,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.95,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.95,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.95,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.00,0,3
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.00,5,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.00,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.00,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.00,9,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.05,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.05,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.05,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.05,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.05,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.05,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.05,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.10,9,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.10,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.10,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.10,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.15,11,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.15,6,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.15,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.15,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.15,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.15,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.15,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.15,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.15,0,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.15,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.20,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.20,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.20,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.20,0,3
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.20,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.20,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.20,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.20,0,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.20,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.20,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.25,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.25,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.25,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.25,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.25,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.25,5,3
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.25,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.25,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.25,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.25,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.30,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.30,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.30,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.30,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.30,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.30,0,3
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.30,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.30,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.30,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.30,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.35,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.35,0,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.35,0,0
